RBD,PAGO_MATRICULA2020,PAGO_MENSUAL2020,PAGO_MATRICULA2021,PAGO_MENSUAL2021,PAGO_MATRICULA2022,PAGO_MENSUAL2022,PAGO_MATRICULA2023,PAGO_MENSUAL2023,RURAL
1467,MAS DE $100.000,MAS DE $100.000,$1.000 A $10.000,$25.001 A $50.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
31509,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,$1.000 A $10.000,$25.001 A $50.000,GRATUITO,GRATUITO,0.0
10091,GRATUITO,$50.001 A $100.000,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,0.0
6087,MAS DE $100.000,MAS DE $100.000,GRATUITO,$50.001 A $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
16477,$1.000 A $10.000,$50.001 A $100.000,MAS DE $100.000,MAS DE $100.000,GRATUITO,MAS DE $100.000,$1.000 A $10.000,$25.001 A $50.000,0.0
14498,GRATUITO,GRATUITO,$1.000 A $10.000,$50.001 A $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,0.0
6925,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$1.000 A $10.000,$50.001 A $100.000,GRATUITO,GRATUITO,1.0
24317,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,0.0
31387,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,0.0
25804,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$1.000 A $10.000,$50.001 A $100.000,0.0
26084,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
17902,GRATUITO,$50.001 A $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
3656,GRATUITO,GRATUITO,GRATUITO,$50.001 A $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
17895,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,$50.001 A $100.000,GRATUITO,GRATUITO,0.0
13341,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8833,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
17703,GRATUITO,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,GRATUITO,MAS DE $100.000,0.0
42081,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8666,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8998,GRATUITO,$25.001 A $50.000,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,0.0
19972,GRATUITO,$25.001 A $50.000,SIN INFORMACION,SIN INFORMACION,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
